price_rub
28990
15990
17990
7990
49990
67990
26990
54990
9990
62990
19990
57990
54990
10990
22990
59990
27990
64990
19990
173970
12990
109990
22990
66990
7990
17990
78980
42990
64990
24990
56990
31990
59990
163970
66990
68990
47990
39990
79990
69990
69990
47990
32990
83990
26990
4590
59990
38990
